reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
J0328330151,https://www.jaquet-droz.com/en/watches/automata/the-rolling-stones-automaton-j0328330011,,Jaquet Droz,,Timepieces,The Rolling Stones Automaton,,,,,,,,,18-karat red gold case. Diameter 43 mm. Height 16.96 mm. «THE ROLLING STONES 1/1 STUDIO» engraved on the case-back. ,,,18-karat red gold case. Diameter 43 mm. Height 16.96 mm. «THE ROLLING STONES 1/1 STUDIO» engraved on the case-back. ,,,18-karat red gold case. Diameter 43 mm. Height 16.96 mm. «THE ROLLING STONES 1/1 STUDIO» engraved on the case-back. ,,,,Up to 3 bar (30 meters),,"Static dial: black onyx hour/minutes dial with 18-karat red gold applied ring, hand-painted 18-karat red gold dial with appliques depicting instruments in hand-engraved and hand-painted 18-karat white and red gold. Animated dial: brass with rhodium-plated treatment, engraved decor and hand-painted motifs, red animated «Big Mouth» in 18-karat red gold, hand-engraved and hand-painted. ",,Fabric with printed patterns in rubber,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2653 AT2, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, hand-engraved 18-karat red gold oscillating weight. «VOODOO LOUNGE 1994 SWL». Automaton with animated record and logo, hand-wound with crown push-button automaton triggering mechanism, double barrel. ","Jaquet Droz 2653 AT2, self-winding mechanical movement, silicon balance spring and pallet horns, double barrel, flat bridges, hand-engraved 18-karat red gold oscillating weight. «VOODOO LOUNGE 1994 SWL». Automaton with animated record and logo, hand-wound with crown push-button automaton triggering mechanism, double barrel. ",68 hours,"28,800 v.p.h.",56 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Black onyx dial and 18-karat red gold applied ring. 
18-karat red gold case. 
Hand-engraved and hand-painted 18-karat white and red gold appliques. 
Hand-wound mechanical automaton movement with push-button triggering mechanism. Mechanical automaton with animated record and logo. 
Self-winding mechanical hours and minutes movement. 
Power reserve of 68 hours. 
Diameter 43 mm. 
Unique piece.",
J0135240021,https://www.jaquet-droz.com/en/watches/grande-seconde/grande-seconde-skelet-one-tourbillon-j013523242,,Jaquet Droz,,Timepieces,Tourbillon Skelet,,,,,,,,,18-karat white gold case. Diameter 41 mm. Height 13.36 mm. ,,,18-karat white gold case. Diameter 41 mm. Height 13.36 mm. ,,,18-karat white gold case. Diameter 41 mm. Height 13.36 mm. ,,,,To 3 bar (30 meters),,Sapphire dial and blue sapphire base. Indexes and dial fixing axes in 18-karat white gold. ,,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Transparent sapphire dial and blue sapphire base. 
18-karat white gold case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 41 mm.",
J0135270221,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-skull-j0135230011,,Jaquet Droz,,Timepieces,Tourbillon Skelet Skull,,,,,,,,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tubes and bar inserts, 18-karat white gold crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,"18-karat white gold dial, hand-engraved. Dial fixing screws in 18-karat white gold. ",,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","18-karat white gold dial, hand-engraved. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
J0135250101,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-skull-j0135230011,,Jaquet Droz,,Timepieces,Tourbillon Skelet Ceramic - Skull Pointillism,,,,,,,,,Black ceramic case. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,Hand-engraved and hand-painted 18-karat gold dial. Dial fixing screws in 18-karat white gold. ,,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Hand-engraved and hand-painted 18-karat gold dial. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250011,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250061,,Jaquet Droz,,Timepieces,Tourbillon Skelet Ceramic,,,,,,,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,Sapphire dial and dark metallic sapphire base. Indexes and dial fixing axes in 18-karat white gold. ,,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Sapphire dial and dark metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250091,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250061,,Jaquet Droz,,Timepieces,Tourbillon Skelet Ceramic,,,,,,,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,Sapphire dial and light metallic sapphire base. Indexes and dial fixing axes in 18-karat white gold. ,,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, black treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Sapphire dial and light metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250071,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250061,,Jaquet Droz,,Timepieces,Tourbillon Skelet Ceramic,,,,,,,,,Black ceramic case. 18-karat red gold crown and tube. Diameter 42.30 mm. ,,,Black ceramic case. 18-karat red gold crown and tube. Diameter 42.30 mm. ,,,Black ceramic case. 18-karat red gold crown and tube. Diameter 42.30 mm. ,,,,To 3 bar (30 meters),,"Transparent sapphire dial and light metallic sapphire base. 18-karat red gold indexes, 18-karat red gold dial fixing axes. ",,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Transparent sapphire dial and light metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135250081,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-ceramic-j0135250061,,Jaquet Droz,,Timepieces,Tourbillon Skelet Ceramic,,,,,,,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,Black ceramic case. Black ceramic crown and 18-karat white gold tube. Diameter 42.30 mm. Height 12.41 mm. ,,,,To 3 bar (30 meters),,"Sapphire dial and light metallic sapphire base. 18-karat white gold indexes with black treatment, 18-karat white gold dial fixing axes. ",,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Sapphire dial and light metallic sapphire base. 
Black ceramic case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42.30 mm.",
J0135270011,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270021,,Jaquet Droz,,Timepieces,Tourbillon Skelet Sapphire,,,,,,,,,Sapphire case. 18-karat red gold crown and tube. Diameter 42 mm. Height 13.76 mm. ,,,Sapphire case. 18-karat red gold crown and tube. Diameter 42 mm. Height 13.76 mm. ,,,Sapphire case. 18-karat red gold crown and tube. Diameter 42 mm. Height 13.76 mm. ,,,,To 3 bar (30 meters),,Sapphire dial. Transparent opal base. Indexes and dial fixing axes in 18-karat red gold. ,,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat red gold oscillating weight. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Sapphire dial with a transparent opal base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
J0135270031,https://www.jaquet-droz.com/en/watches/grande-seconde/tourbillon-skelet-sapphire-j0135270021,,Jaquet Droz,,Timepieces,Tourbillon Skelet Sapphire,,,,,,,,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,"Sapphire case. 18-karat white gold tube and bar inserts, black ceramic crown. Diameter 42 mm. Height 13.76 mm. ",,,,To 3 bar (30 meters),,"Transparent sapphire dial and yellow sapphire base. 18-karat white gold indexes with black treatment, 18-karat white gold dial fixing axes. ",,Rubber strap,Rolled-edge hand-made black alligator leather strap,18-carat red gold folding clasp,"Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ","Jaquet Droz 2625SQ, self-winding skeleton tourbillon movement, gray treatment, silicon balance spring and pallet horns, titanium tourbillon frame, single barrel, 18-karat white gold oscillating weight with black treatment. Customized engraving on the oscillating weight. ",7 days,"21,600 v.p.h.",30 jewels,"Hours and minutes at 6 o'clock
Tourbillon frame and seconds at 12 o'clock","Transparent sapphire dial and yellow sapphire base. 
Sapphire case. 
Self-winding skeleton tourbillon movement. 
Power reserve of 7 days. 
Diameter 42 mm.",
